title,neighborhood,price,url,description
Piso  Carrer carme. Pis + parquing,Girona - Centre-Carme,165.000 €,https://www.habitaclia.com/comprar-piso-pis_parquing_centre_carme-girona-i9336004240954.htm?f=&geo=c&from=list&lo=55,"Pis amb una superfície de 80 m². Distribuïts en un saló menjador amb accés a una cuina totalment equipada i moblada, en..."
"Piso  Carrer ramon turró. Piso con 3 habitaciones con ascensor, calefacción y aire acondic",Girona - La Devesa,330.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_calefaccion_y_aire_acondic_la_devesa-girona-i2055003566600.htm?f=&geo=c&from=list&lo=55,"GIRONA | Ramon Turró | Obra Nueva | Pisos de 3, 4 y 5 habitaciones y una de las zonas más atractivas de la ciudad. Clima..."
"Piso  Carrer de roberto bolaño ávalos. Piso con 2 habitaciones con ascensor, calefacción y aire acondic",Girona - Fontajau-Domeny,207.500 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_calefaccion_y_aire_acondic_fontajau_domeny-girona-i2055003567264.htm?f=&geo=c&from=list&lo=55,GIRONA | Domeny | Pisos de obra nueva en primera fase de construcción en venta en una de las nuevas zonas de Girona a 5...
Piso  en  Eixample Sud-Migdia. Dúplex a la zona de pericot.,Girona - Eixample Sud-Migdia,185.000 €,https://www.habitaclia.com/comprar-piso-duplex_a_la_zona_de_pericot_eixample_sud_migdia-girona-i9336004240965.htm?f=&geo=c&from=list&lo=55,"¡Oportunidad! Dúplex en Girona (zona Pericot) en venta. En la planta baja dispone de salón comedor, cocina independiente..."
"Casa adosada  en  Pirineus 34. Estrena casa en vilablareix!!
te ofrecemos la oportunidad de est",Vilablareix,347.500 €,https://www.habitaclia.com/comprar-casa_adosada-estrena_casa_en_te_ofrecemos_la_oportunidad_de_est_pirineus_34-vilablareix-i24188000000845.htm?f=&geo=c&from=list&lo=55,Estrena casa en Vilablareix!!  Te ofrecemos la oportunidad de estrenar tu nuevo hogar en la localidad de moda de Girona...
La Devesa,Girona - La Devesa,443.500 €,https://www.habitaclia.com/obra_nueva-viviendas-en-girona/promo_10622003671460?geo=c&from=list&lo=56,"Edificio viviendas  en Girona, Edificio viviendas La Devesa Girona de 120 m 2  por 443.500 €..."
Piso  Carretera santa coloma. Piso con 3 habitaciones con ascensor y calefacción,Vilablareix,265.000 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_calefaccion-vilablareix-i2055003566855.htm?pag=1&f=&geo=c&from=list&lo=55,VILABLAREIX: Nueva promoción de pisos de tres y cuatro habitaciones una de las zonas más atractivas de Vilablareix. Acab...
Estudio  en  Centre-Barri Vell. Oportunidad,Girona - Centre-Barri Vell,226.000 €,https://www.habitaclia.com/comprar-estudio-oportunidad_centre_barri_vell-girona-i14111004251477.htm?pag=1&f=&geo=c&from=list&lo=55,"En una de las principales zonas de la ciudad de Girona, a escasos 100 metros de la catedral en pleno centro de la ciudad..."
Piso  Calle riu guell,Girona - La Devesa,240.000 €,https://www.habitaclia.com/comprar-piso-la_devesa-girona-i4604004049172.htm?pag=1&f=&geo=c&from=list&lo=55,"GIRONA-DEVESA. Impecable Pis cantoner de 74m² amb bones vistes. Consta de rebedor, 3 habitacions (1 doble tipus suitte),..."
Piso  Creu. Espectacular piso totalmente reformado de alto standing ubicado,Girona - Eixample Nord,475.000 €,https://www.habitaclia.com/comprar-piso-espectacular_totalmente_reformado_de_alto_standing_ubicado_eixample_nord-girona-i4509004190979.htm?pag=1&f=&geo=c&from=list&lo=55,"Bonito piso totalmente reformado de alto standing,  pensados y diseñados para cubrir las más altas expectativas de confo..."
Casa adosada  en  Santa Eugenia. Casa en venta en girona.,Girona - Santa Eugenia,295.000 €,https://www.habitaclia.com/comprar-casa_adosada-casa_en_venta_en_santa_eugenia-girona-i9336004240979.htm?pag=1&f=&geo=c&from=list&lo=55,"Adosado en venta en Girona, con una superficie de 200 m². Junto a la calle tenemos la zona de garaje con capacidad para..."
Piso  Santa clara. Exclusiva vivienda de alto standing en el centro con vistas al r,Girona - Centre-Barri Vell,990.000 €,https://www.habitaclia.com/comprar-piso-exclusiva_vivienda_de_alto_standing_en_el_centro_con_vistas_al_r_centre_barri_vell-girona-i4509004191019.htm?pag=1&f=&geo=c&from=list&lo=55,"Exclusivo edificio de Alto Standing, ubicado en el centro de Girona en una de las mejores zonas del casco antiguo con vi..."
Piso  en  Eixample Nord. Vive a 3 minutos a pie de la estación de gerona y del centro de,Girona - Eixample Nord,179.900 €,https://www.habitaclia.com/comprar-piso-vive_a_3_minutos_a_pie_de_la_estacion_de_gerona_y_del_centro_de_eixample_nord-girona-i24188000000768.htm?pag=1&f=&geo=c&from=list&lo=55,Vive a 3 minutos a pie de la estación de Gerona y del centro de ocio y comercios de la ciudad. Esta vivienda nos ofrece...
"Piso  Carrer carretera de girona. Piso con 2 habitaciones con ascensor, calefacción y aire acondic",Quart,154.000 €,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_calefaccion_y_aire_acondic-quart-i2055003566820.htm?pag=1&f=&geo=c&from=list&lo=55,"CUARTO | Promoción de obra nueva residencial en venta a cinco minutos de Girona, consta de pisos de 2 y 3 habitaciones,..."
Casa adosada  en  Cassà de la Selva,Cassà de la Selva,260.000 €,https://www.habitaclia.com/comprar-casa_adosada-en-cassa_de_la_selva-i3114003621257.htm?pag=1&f=&geo=c&from=list&lo=55,Magnifica casa en hilera en venta de 216 m2 ubicada en una zona muy bien comunicada con todos los servicios cerca. Cons...
"Chalet  Albí. Fantástica casa independiente situada en una zona privilegiada,",Girona - Palau,980.000 €,https://www.habitaclia.com/comprar-chalet-fantastica_casa_independiente_situada_en_una_zona_privilegiada_palau-girona-i4509004191013.htm?pag=1&f=&geo=c&from=list&lo=55,"Fantástica casa independiente situada en una zona privilegiada de Palau (Girona), de 3 plantas y superficie construida d..."
Piso  en  Eixample Sud-Migdia,Girona - Eixample Sud-Migdia,248.000 €,https://www.habitaclia.com/comprar-piso-eixample_sud_migdia-girona-i3114003621234.htm?pag=1&f=&geo=c&from=list&lo=55,"Gran piso de 155m2, amplio salón comedor de 35m2 con chimenea y salida a balcón, gran cocina con comedor anexo, con cinc..."
"Piso  en  Calle gausfred llong 13. Pisos de obra nueva en construcción en fornells de la selva, sit",Fornells de la Selva,240.000 €,https://www.habitaclia.com/comprar-piso-s_de_obra_nueva_en_construccion_en_sit_gausfred_llong_13-fornells_de_la_selva-i24188000000711.htm?pag=1&f=&geo=c&from=list&lo=55,"Fantásticos pisos de obra nueva en construcción en FORNELLS DE LA SELVA muy cerca de la ciudad de Girona, situados en la..."
Piso  en  Avenida montilivi 1,Girona - Montilivi,325.000 €,https://www.habitaclia.com/comprar-piso-montilivi_1_montilivi-girona-i4604004049077.htm?pag=1&f=&geo=c&from=list&lo=55,GIRONA – NUEVA PROMOCIÓN – MONTILIVI 1. Planta baja de 118 m². Consta de 3 habitaciones (2 dobles y 1 individual) con ar...
Piso  en  Cassà de la Selva,Cassà de la Selva,175.000 €,https://www.habitaclia.com/comprar-piso-en-cassa_de_la_selva-i3114003621252.htm?pag=1&f=&geo=c&from=list&lo=55,"EXELENTE VIVIENDA LISTA PARA ENTRAR A VIVIR! Precisos piso amplio, luminoso, todo exterior,excelente distribución y sit..."
"Piso  en  Carrer joaquim vayreda, 63. Oportunitat!",Girona - La Devesa,228.000 €,https://www.habitaclia.com/comprar-piso-oportunitat_calle_joaquim_vayreda_63_la_devesa-girona-i2413004202727.htm?pag=1&f=&geo=c&from=list&lo=55,"Zona Devesa, Girona - Pis a reformar de 101 m2 amb increïbles vistes a la ciutat de Girona. Distribuït en rebedor, àmpli..."
Travessia,Girona - Eixample Nord,363.000 €,https://www.habitaclia.com/obra_nueva-viviendas-en-girona/promo_598003221918?geo=c&from=list&lo=56,"Edificio viviendas  en Girona, Edificio viviendas Eixample Nord Girona de 106 m 2  por 363.000 €..."
Piso  Avinguda lluís companys. Obra nueva,Vilablareix,204.400 €,https://www.habitaclia.com/comprar-piso-obra_nueva-vilablareix-i34612004095776.htm?pag=2&f=&geo=c&from=list&lo=55,"Destino, tu hogar. Un viaje en el que te sentirás como en casa.  CULMIA Nou Vilablareix cuenta con pisos exclusivos de..."
"Planta baja  Castell de solterra. Planta baja con 3 habitaciones con ascensor, parking, calefacció",Girona - Montilivi,425.000 €,https://www.habitaclia.com/comprar-planta_baja-con_3_habitaciones_con_ascensor_parking_calefaccio_montilivi-girona-i4860003363305.htm?pag=2&f=&geo=c&from=list&lo=55,"“Un solo concepto: CALIDAD DE VIDA “  Este piso, situado en un edificio de reciente construcción cuenta con unos acaba..."
"Piso  Carme. Piso con 3 habitaciones con ascensor, parking y calefacción",Girona - Centre-Carme,189.500 €,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_parking_y_calefaccion_centre_carme-girona-i4860003363280.htm?pag=2&f=&geo=c&from=list&lo=55,"Disfrutar de las vistas al Onyar durante todo el año

Este piso moderno de 87 m² nos da la posibilidad de vivir en una m..."
"Piso  Calle major. Piso en  calle major , zona salt",Salt - Veïnat,85.000 €,https://www.habitaclia.com/comprar-piso-en_calle_major_zona_veinat-salt-i3052002655006.htm?pag=2&f=&geo=c&from=list&lo=55,"Piso en Salt, cuenta con una superficie de 80m²,  dispone de 3  habitaciones, 1  baño con plato de ducha, cocina, amplio..."
Piso  en  Montilivi. Excelente piso de obra nueva para inversores...situación inmejor,Girona - Montilivi,229.000 €,https://www.habitaclia.com/comprar-piso-excelente_de_obra_nueva_para_inversoressituacion_inmejor_montilivi-girona-i24188000000890.htm?pag=2&f=&geo=c&from=list&lo=55,Piso de obra nueva situado al inicio de Lluís Pericot (Avinguda Montilivi 1).  Está ubicado dentro de un edificio con a...
Piso  Lluis  pericot,Girona - Eixample Sud-Migdia,249.000 €,https://www.habitaclia.com/comprar-piso-eixample_sud_migdia-girona-i4604004049113.htm?pag=2&f=&geo=c&from=list&lo=55,"GIRONA-PERICOT. Impecable Pis de 82m² amb bones vistes. Consta de rebedor, 3 habitacions (2 dobles), 2 banys complets, c..."
Chalet  en  Llagostera,Llagostera,230.000 €,https://www.habitaclia.com/comprar-chalet-en-llagostera-i3114003621184.htm?pag=2&f=&geo=c&from=list&lo=55,"Casa aislada construida en una parcela de 600m2, EN UNA SOLA  PLANTA,  de 200 m2,  Consta de 4 habitaciones, 1 tipo sui..."
Masía  en  Cassà de la Selva. Masia en el corazón de les gavarres,Cassà de la Selva,1.150.000 €,https://www.habitaclia.com/comprar-masia-en_el_corazon_de_les_gavarres-cassa_de_la_selva-i4915004245320.htm?pag=2&f=&geo=c&from=list&lo=55,"Masía catalana en el corazón de las Gavarres, con terreno de 40.000m2.  Masía de piedra totalmente restaurada, conserv..."
Casa  en  Calle pit roig 3,Sant Gregori,495.000 €,https://www.habitaclia.com/comprar-casa-pit_roig_3-sant_gregori-i4604004049127.htm?pag=2&f=&geo=c&from=list&lo=55,SANT GREGORI. Impecable Casa Unifamiliar de 242m² en una parcel·la de 360m². Consta de tres plantes. En  planta baixa: r...
Piso  en  Montilivi 1. Excelente piso de obra nueva de 3 dormitorios............. situa,Girona - Montilivi,270.000 €,https://www.habitaclia.com/comprar-piso-excelente_de_obra_nueva_de_3_dormitorios_situa_montilivi_1_montilivi-girona-i24188000000844.htm?pag=2&f=&geo=c&from=list&lo=55,Piso de obra nueva situado al inicio de Lluís Pericot (Avinguda Montilivi 1).  Está ubicado dentro de un edificio con a...
